DriverNumber,Abbreviation,GridPosition,Position,Status
1,VER,6.0,1.0,Finished
4,NOR,2.0,2.0,Finished
55,SAI,4.0,3.0,Finished
11,PER,9.0,4.0,Finished
63,RUS,5.0,5.0,Finished
10,GAS,7.0,6.0,Finished
18,STR,20.0,7.0,Finished
22,TSU,11.0,8.0,Finished
23,ALB,15.0,9.0,Finished
2,SAR,16.0,10.0,Finished
27,HUL,18.0,11.0,Finished
77,BOT,13.0,12.0,Finished
24,ZHO,12.0,13.0,Lapped
20,MAG,17.0,14.0,Lapped
3,RIC,14.0,15.0,Lapped
14,ALO,19.0,16.0,Retired
81,PIA,10.0,17.0,Retired
31,OCO,8.0,18.0,Retired
44,HAM,3.0,19.0,Disqualified
16,LEC,1.0,20.0,Disqualified
